audience,country,duration,original_language,orignal_title,plot,score,scrapy_creators,scrapy_genres,scrapy_stars,title,tvshow_rank,url,year_start,year_stop
"""12""","""Royaume-Uni""",0,"""Anglais""",NULL,"""Ritchie, Roscoe et Colin débarquent à Londres en 1981. Les jeunes hommes vont commencer leur vie d'adulte avec un virus nouveau qui se propage dans la communauté gay. C'est l'histoire de leurs amis, de leurs amants et de leurs familles.""",8.7,"""Russell T. Davies""","""Comédie|Drame|Historique""","""Olly Alexander|Nathaniel Curtis|Shaun Dooley""","""It's a Sin""",139,"""https://www.imdb.com/title/tt9140342/?ref_=chttvtp_i_139""",2021,NULL
"""tv-14""","""États-Unis""",0,"""Anglais""",NULL,"""A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.""",9.2,NULL,"""Aventure|Fantastique""","""Matthew Mercer|Liam O'Brien|Marisha Ray""","""Critical Role""",137,"""https://www.imdb.com/title/tt4834232/?ref_=chttvtp_i_137""",2015,NULL
"""accord parental""","""États-Unis""",22,"""Anglais""",NULL,"""Un homme des cavernes au début de l'évolution. Un dinosaure au bord de l'extinction. Liés par la tragédie, ils forgent une amitié étrange qui est leur seul espoir de survie dans un monde violent et primordial.""",8.7,"""Genndy Tartakovsky""","""Animation|Action|Aventure""","""Aaron LaPlante|Laëtitia Eïdo|Fred Tatasciore""","""Primal""",138,"""https://www.imdb.com/title/tt10332508/?ref_=chttvtp_i_138""",2019,NULL
"""13""","""Japon""",24,"""Japonais""",NULL,"""Après avoir reçu un pouvoir mystérieux lui permettant de contrôler les autres, un prince rejeté devient le leader masqué de la rébellion contre un empire tout puissant.""",8.7,"""Gorô Taniguchi|Ichirô Ôkouchi""","""Animation|Action|Drame""","""Jun Fukuyama|Takahiro Sakurai|Johnny Yong Bosch""","""Code Geass: Lelouch of the Rebellion""",136,"""https://www.imdb.com/title/tt0994314/?ref_=chttvtp_i_136""",2006,2008
"""tous publics""","""États-Unis""",22,"""Anglais""",NULL,"""Les singeries absurdes des fonctionnaires de la ville d'Indiana alors qu'elles poursuivent divers projets pour améliorer la ville.""",8.6,"""Greg Daniels|Michael Schur""","""Comédie""","""Amy Poehler|Jim O'Heir|Nick Offerman""","""Parks and Recreation""",131,"""https://www.imdb.com/title/tt1266020/?ref_=chttvtp_i_131""",2009,2015
"""tous publics""","""États-Unis""",55,"""Anglais""",NULL,"""L'intrigue tourne autour des personnages de Deadwood, une ville de corruption et de crime dans le Dakota du Sud à la fin des années 1800.""",8.6,"""David Milch""","""Policier|Drame|Historique""","""Timothy Olyphant|Ian McShane|Molly Parker""","""Deadwood""",133,"""https://www.imdb.com/title/tt0348914/?ref_=chttvtp_i_133""",2004,2006
"""12""","""États-Unis""",55,"""Anglais""",NULL,"""De jour, Dexter est analyste de traces de sang pour la police de Miami. De nuit, il est tueur en série de meurtriers.""",8.6,"""James Manos Jr.""","""Policier|Drame|Mystère""","""Michael C. Hall|Jennifer Carpenter|David Zayas""","""Dexter""",135,"""https://www.imdb.com/title/tt0773262/?ref_=chttvtp_i_135""",2006,2013
"""16""","""Royaume-Uni""",58,"""Anglais""",NULL,"""Suit les rivalités politiques et l'histoire du règne de la reine Elizabeth II et les événements qui ont marqué la seconde moitié du XXème siècle.""",8.6,"""Peter Morgan""","""Biographique|Drame|Historique""","""Claire Foy|Olivia Colman|Imelda Staunton""","""The Crown""",132,"""https://www.imdb.com/title/tt4786824/?ref_=chttvtp_i_132""",2016,2023
"""12""","""États-Unis""",30,"""Anglais""",NULL,"""Earn et son cousin Alfred tentent de se frayer un chemin à travers le monde du rap. Tout au long de leur parcours, ils sont confrontés à des problèmes sociaux et économiques touchant à la discrimination raciale, aux relations personnelles, à la pauvreté, au statut social et à la parentalité.""",8.6,"""Donald Glover""","""Comédie|Drame|Musical""","""Donald Glover|Brian Tyree Henry|LaKeith Stanfield""","""Atlanta""",130,"""https://www.imdb.com/title/tt4288182/?ref_=chttvtp_i_130""",2016,2022
"""tous publics""","""États-Unis""",45,"""Anglais""","""The X Files""","""Deux agents du F.B.I., le croyant Fox Mulder et la sceptique Dana Scully, enquêtent sur les évènements étranges et inexpliqués, tandis que des forces cachées tentent d'entraver leurs efforts.""",8.6,"""Chris Carter""","""Policier|Drame|Mystère""","""David Duchovny|Gillian Anderson|Mitch Pileggi""","""X Files: aux frontières du réel""",134,"""https://www.imdb.com/title/tt0106179/?ref_=chttvtp_i_134""",1993,2018
"""not rated""","""Royaume-Uni""",25,"""Anglais""",NULL,"""Trois prêtres inadaptés et leur gouvernante vivent sur Craggy Island, pas dans la partie paisible et tranquille de l'Irlande qu'elle semble être.""",8.7,NULL,"""Comédie""","""Dermot Morgan|Ardal O'Hanlon|Frank Kelly""","""Father Ted""",129,"""https://www.imdb.com/title/tt0111958/?ref_=chttvtp_i_129""",1995,1998
"""tv-14""","""Inde""",30,"""Hindi""",NULL,"""An adaptation of the ancient epic in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.""",9.0,"""Ramanand Sagar""","""Aventure|Drame|Famille""","""Arun Govil|Deepika Chikhalia|Sunil Lahri""","""Ramayan""",128,"""https://www.imdb.com/title/tt0268093/?ref_=chttvtp_i_128""",1987,1988
"""tous publics""","""États-Unis""",45,"""Anglais""",NULL,"""L'histoire touchante et émouvante de trois frères et soeurs, de leurs difficultés quotidiennes et de leurs merveilleux parents.""",8.7,"""Dan Fogelman""","""Comédie|Drame|Romantique""","""Milo Ventimiglia|Mandy Moore|Sterling K. Brown""","""This Is Us""",126,"""https://www.imdb.com/title/tt5555260/?ref_=chttvtp_i_126""",2016,2022
"""tous publics""","""États-Unis""",0,"""Anglais""",NULL,"""Un membre du Congrès se venge des personnes qui l'ont trahi avec l'aide de sa femme, aussi malhonnête que lui.""",8.6,"""Beau Willimon""","""Drame""","""Kevin Spacey|Michel Gill|Robin Wright""","""House of Cards""",125,"""https://www.imdb.com/title/tt1856010/?ref_=chttvtp_i_125""",2013,2018
"""12""","""Japon""",24,"""Anglais""",NULL,"""Un brillant neurochirurgien vivant en Allemagne trouve sa vie complètement bouleversée après s'être impliqué avec un psychopathe qui était autrefois un ancien patient.""",8.7,"""Naoki Urasawa""","""Animation|Policier|Drame""","""Hidenobu Kiuchi|Liam O'Brien|Mamiko Noto""","""Monster""",124,"""https://www.imdb.com/title/tt0434706/?ref_=chttvtp_i_124""",2004,2005
"""tv-ma""","""Royaume-Uni""",29,"""Anglais""",NULL,"""Dans les coulisses du pouvoir, le ministre des Affaires sociales doit dépendre de son équipe de fonctionnaires pas aussi fiable qu'elle n'y paraît.""",8.7,"""Armando Iannucci""","""Comédie""","""Chris Addison|James Smith|Peter Capaldi""","""The Thick of It""",123,"""https://www.imdb.com/title/tt0459159/?ref_=chttvtp_i_123""",2005,2012
"""tv-ma""","""États-Unis""",30,"""Anglais""",NULL,"""Un New-Yorkais anxieux tente de donner des conseils au quotidien tout en essayant de s'occuper de ses propres problèmes personnels.""",8.7,NULL,"""Documentaire|Comédie""","""John Wilson|Kyle MacLachlan|Niko Nelson""","""How to with John Wilson""",127,"""https://www.imdb.com/title/tt10801534/?ref_=chttvtp_i_127""",2020,2023
"""16""","""États-Unis""",0,"""Anglais""",NULL,"""Suit la famille Dutton dans un voyage vers l'ouest à travers les Grandes Plaines vers le dernier bastion de l'Amérique sauvage.""",8.7,"""Taylor Sheridan""","""Drame|Western""","""Tim McGraw|Sam Elliott|Faith Hill""","""1883""",122,"""https://www.imdb.com/title/tt13991232/?ref_=chttvtp_i_122""",2021,2022
"""tous publics""","""Japon""",24,"""Japonais""",NULL,"""Naruto Uzumaki, est un ninja adolescent fort, hyperactif, qui cherche constamment à obtenir l'approbation et la reconnaissance, ainsi que de devenir Hokage, reconnu comme le leader et le plus fort des ninja du village.""",8.7,"""Masashi Kishimoto""","""Animation|Action|Aventure""","""Alexandre Crepet|Junko Takeuchi|Maile Flanagan""","""Naruto: Shippuden""",121,"""https://www.imdb.com/title/tt0988824/?ref_=chttvtp_i_121""",2007,2017
"""tous publics""","""Royaume-Uni""",0,"""Anglais""",NULL,"""Steve Arnott est transféré à l'unité de lutte contre la corruption de la police après la mort d'un homme victime d'une fusillade lors d'une opération antiterroriste.""",8.7,"""Jed Mercurio""","""Policier|Drame|Mystère""","""Martin Compston|Vicky McClure|Adrian Dunbar""","""Line of Duty""",120,"""https://www.imdb.com/title/tt2303687/?ref_=chttvtp_i_120""",2012,2021
"""tv-14""","""Turquie""",90,"""Turc""",NULL,"""An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.""",8.9,NULL,"""Policier|Drame|Mystère""","""Erdal Besikçioglu|Inanç Konukçu|Ege Aydan""","""Behzat Ç.: Bir Ankara Polisiyesi""",118,"""https://www.imdb.com/title/tt1795096/?ref_=chttvtp_i_118""",2010,2019
"""tv-pg""","""Royaume-Uni""",0,"""Anglais""",NULL,"""Les hôtes parlent de tout ce qui concerne la voiture. Des nouvelles voitures à leur carburant, ce spectacle a tout.""",8.7,NULL,"""Aventure|Sport|Talk-show""","""Jeremy Clarkson|Richard Hammond|James May""","""Top Gear""",119,"""https://www.imdb.com/title/tt1628033/?ref_=chttvtp_i_119""",2002,2022
"""tous publics""","""États-Unis""",40,"""Anglais""",NULL,"""La série se déroule après la chute de l'Empire et avant l'émergence du Premier Ordre, et suit les épreuves d'un tireur solitaire dans les confins de la galaxie, loin de l'autorité de la Nouvelle République.""",8.7,"""Jon Favreau""","""Action|Aventure|Fantastique""","""Pedro Pascal|Chris Bartlett|Katee Sackhoff""","""The Mandalorian""",117,"""https://www.imdb.com/title/tt8111088/?ref_=chttvtp_i_117""",2019,NULL
"""tv-pg""","""Inde""",30,"""Hindi""",NULL,"""The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.""",8.9,NULL,"""Comédie""","""Satish Shah|Ratna Pathak Shah|Sumeet Raghavan""","""Sarabhai V/S Sarabhai""",116,"""https://www.imdb.com/title/tt1518542/?ref_=chttvtp_i_116""",2004,2017
"""tous publics""","""États-Unis""",44,"""Anglais""",NULL,"""Les épreuves et les tribulations des footballeurs d'une petite ville du Texas, de leurs amis, de leur famille et de leurs entraîneurs.""",8.7,"""Peter Berg""","""Drame|Sport""","""Kyle Chandler|Connie Britton|Zach Gilford""","""Friday Night Lights""",115,"""https://www.imdb.com/title/tt0758745/?ref_=chttvtp_i_115""",2006,2011
"""tv-y7-fv""","""États-Unis""",23,"""Anglais""",NULL,"""La suite de la série animée Justice League voit les membres originaux de l'équipe rejoints dans leur lutte contre le crime et le mal par des dizaines d'autres héros de l'univers DC comics.""",8.7,"""Jack Kirby""","""Animation|Action|Aventure""","""George Newbern|Kevin Conroy|Phil LaMarr""","""Justice League Unlimited""",114,"""https://www.imdb.com/title/tt6025022/?ref_=chttvtp_i_114""",2004,2006
"""0+""","""Inde""",0,"""Hindi""",NULL,"""C'est l'histoire du parcours de trois aspirants à l'UPSC (concours de la fonction publique en Inde) et de leur amitié contre toute attente.""",9.2,"""Deepesh Sumitra Jagdish|Arunabh Kumar|Shreyansh Pandey""","""Drame""","""Naveen Kasturia|Shivankit Singh Parihar|Abhilash Thapliyal""","""Aspirants""",113,"""https://www.imdb.com/title/tt14392248/?ref_=chttvtp_i_113""",2021,NULL
"""16""","""États-Unis""",51,"""Russe""",NULL,"""Lorsqu'un jeune garçon disparaît, sa mère, le chef de police et ses amis doivent affronter des forces terrifiantes afin de le retrouver.""",8.7,"""Matt Duffer|Ross Duffer""","""Drame|Fantastique|Horreur""","""Millie Bobby Brown|Finn Wolfhard|Winona Ryder""","""Stranger Things""",108,"""https://www.imdb.com/title/tt4574334/?ref_=chttvtp_i_108""",2016,2025
"""18""","""États-Unis""",0,"""Anglais""","""The Marvelous Mrs. Maisel""","""Une femme au foyer dans les années 1950 décide de devenir humoriste.""",8.7,"""Amy Sherman-Palladino""","""Comédie|Drame""","""Rachel Brosnahan|Alex Borstein|Michael Zegen""","""La fabuleuse Mme Maisel""",111,"""https://www.imdb.com/title/tt5788792/?ref_=chttvtp_i_111""",2017,2023
"""16""","""Royaume-Uni""",0,"""Anglais""",NULL,"""Suivez Jeremy, Richard et James alors qu'ils se lancent dans une aventure à travers le monde, conduisant de nouvelles et formidables voitures de fabricants du monde entier.""",8.7,NULL,"""Comédie|Sport|Talk-show""","""Jeremy Clarkson|James May|Richard Hammond""","""The Grand Tour""",112,"""https://www.imdb.com/title/tt5712554/?ref_=chttvtp_i_112""",2016,2024
"""tous publics""","""Royaume-Uni""",0,"""Anglais""","""The Adventures of Sherlock Holmes""","""Sherlock Holmes et le Dr. Watson résolvent les mystères des hêtres pourpres, l'interprète grec, l'entrepreneur de Norwood, le pensionnaire en traitement, la ligue des rouquins et le dernier problème.""",8.7,"""John Hawkesworth""","""Policier|Drame|Mystère""","""Jeremy Brett|David Burke|Rosalie Williams""","""Les aventures de Sherlock Holmes""",110,"""https://www.imdb.com/title/tt0086661/?ref_=chttvtp_i_110""",1984,1985
"""tv-14""","""Inde""",45,"""Hindi""",NULL,"""When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.""",8.9,NULL,"""Action|Aventure|Drame""","""Harish Bhimani|Nitish Bharadwaj|Mukesh Khanna""","""Mahabharat""",109,"""https://www.imdb.com/title/tt0158417/?ref_=chttvtp_i_109""",1988,1990
"""tous publics""","""États-Unis""",44,"""Anglais""",NULL,"""Des décennies après la mission de cinq ans du capitaine Kirk, une nouvelle génération d'officiers de Starfleet se lance dans la nouvelle Entreprise pour accomplir sa mission.""",8.7,"""Gene Roddenberry""","""Action|Aventure|Drame""","""Patrick Stewart|Brent Spiner|Jonathan Frakes""","""Star Trek: La nouvelle génération""",107,"""https://www.imdb.com/title/tt0092455/?ref_=chttvtp_i_107""",1987,1994
"""16""","""États-Unis""",0,"""Anglais""",NULL,"""Une série animée pour adultes inspirée de la bande dessinée sur un adolescent dont le père est le super-héros le plus puissant de la planète.""",8.7,"""Robert Kirkman|Ryan Ottley|Cory Walker""","""Animation|Action|Aventure""","""Steven Yeun|J.K. Simmons|Sandra Oh""","""Invincible""",105,"""https://www.imdb.com/title/tt6741278/?ref_=chttvtp_i_105""",2021,NULL
"""tv-ma""","""Royaume-Uni""",25,"""Anglais""",NULL,"""Mark et Jez, un couple de colocataires d'une vingtaine d'années, n'ont rien en commun, à l'exception du fait que leur vie est tout sauf normale. Le chaos s'ensuit alors que les deux hommes s'efforcent de faire face à la vie quotidienne.""",8.7,"""Jesse Armstrong|Sam Bain|Andrew O'Connor""","""Comédie""","""David Mitchell|Robert Webb|Matt King""","""Peep Show""",106,"""https://www.imdb.com/title/tt0387764/?ref_=chttvtp_i_106""",2003,2015
"""12""","""États-Unis""",55,"""Anglais""",NULL,"""Mark dirige une équipe d'employés dont les souvenirs ont été divisés entre leur travail et leur vie personnelle. Lorsqu'un mystérieux collègue apparaît en dehors du travail, il commence un voyage pour découvrir la vérité sur son travail.""",8.7,"""Dan Erickson""","""Drame|Mystère|Science-fiction""","""Adam Scott|Zach Cherry|Britt Lower""","""Severance""",102,"""https://www.imdb.com/title/tt11280740/?ref_=chttvtp_i_102""",2022,NULL
"""12""","""Japon""",24,"""Japonais""",NULL,"""L'histoire de Saitama, un héros qui le fait juste pour le plaisir et peut vaincre ses ennemis d'un seul coup de poing.""",8.7,NULL,"""Animation|Action|Comédie""","""Makoto Furukawa|Kaito Ishikawa|Max Mittelman""","""One Punch Man""",103,"""https://www.imdb.com/title/tt4508902/?ref_=chttvtp_i_103""",2015,2019
"""tous publics""","""États-Unis""",0,"""Anglais""",NULL,"""Un drame sur l'une des agences de publicité les plus prestigieuses de New York au début des années 1960, mettant l'accent sur Donald Draper, l'un des directeurs de publicité les plus mystérieux mais extrêmement talentueux.""",8.7,"""Matthew Weiner""","""Drame""","""Jon Hamm|Elisabeth Moss|Vincent Kartheiser""","""Mad Men""",104,"""https://www.imdb.com/title/tt0804503/?ref_=chttvtp_i_104""",2007,2015
"""tous publics""","""Royaume-Uni""",0,"""Anglais""",NULL,"""Une chronique de la vie de la famille aristocrate britannique nommée Crawley et de leurs serviteurs au début du XXème siècle.""",8.7,"""Julian Fellowes""","""Drame|Romantique""","""Hugh Bonneville|Phyllis Logan|Elizabeth McGovern""","""Downton Abbey""",97,"""https://www.imdb.com/title/tt1606375/?ref_=chttvtp_i_97""",2010,2015
"""16""","""Japon""",23,"""Japonais""","""Kenpuu Denki Berserk""","""Guts est un combattant talentueux qui va rejoindre un groupe de mercenaires, mené par un chef charismatique du nom de Griffith. Au fur et à mesure de leurs combats, ils vont se frayer un chemin jusqu'à la cour royale.""",8.7,"""Kentaro Miura""","""Animation|Action|Aventure""","""Marc Diraison|Nobutoshi Canna|Carrie Keranen""","""Berserk""",99,"""https://www.imdb.com/title/tt0318871/?ref_=chttvtp_i_99""",1997,1998
"""tous publics""","""États-Unis""",22,"""Anglais""","""Arrested Development""","""Après l'emprisonnement de son père, Michael Bluth prend la tête des affaires familiales. Mais le reste de sa famille, gâtée et dysfonctionnelle, rend son travail insupportable.""",8.7,"""Mitchell Hurwitz""","""Comédie""","""Jason Bateman|Michael Cera|Portia de Rossi""","""Arrested development - Les nouveaux pauvres""",100,"""https://www.imdb.com/title/tt0367279/?ref_=chttvtp_i_100""",2003,2019
"""tous publics""","""États-Unis""",0,"""Anglais""","""House M.D.""","""Un médecin antisocial et non-conformiste se spécialise dans le diagnostic médical fait tout ce qu'il peut pour résoudre les cas mystérieux qui se présentent à lui en utilisant son équipe de médecins et son intelligence.""",8.7,"""David Shore""","""Drame|Mystère""","""Hugh Laurie|Omar Epps|Robert Sean Leonard""","""Dr House""",101,"""https://www.imdb.com/title/tt0412142/?ref_=chttvtp_i_101""",2004,2012
"""tous publics""","""États-Unis""",22,"""Anglais""","""The Simpsons""","""Les aventures satiriques d'une famille de classe moyenne dans la ville de Springfield.""",8.7,"""James L. Brooks|Matt Groening|Sam Simon""","""Animation|Comédie""","""Dan Castellaneta|Nancy Cartwright|Harry Shearer""","""Les Simpson""",98,"""https://www.imdb.com/title/tt0096697/?ref_=chttvtp_i_98""",1989,2025
"""tv-ma""","""États-Unis""",0,"""Anglais""",NULL,"""Un maître du sabre métis mène une vie déguisée tout en cherchant à se venger dans le Japon de l'époque d'Edo.""",8.7,"""Michael Green|Amber Noizumi""","""Animation|Action|Aventure""","""Maya Erskine|George Takei|Masi Oka""","""Blue Eye Samurai""",91,"""https://www.imdb.com/title/tt13309742/?ref_=chttvtp_i_91""",2023,NULL
"""12""","""États-Unis""",47,"""Anglais""",NULL,"""Suit la vie et les affaires d'un flic corrompu d'un commissariat de Los Angeles et de l'équipe sous son commandement.""",8.7,"""Shawn Ryan""","""Policier|Drame|Thriller""","""Michael Chiklis|Catherine Dent|Walton Goggins""","""The Shield""",96,"""https://www.imdb.com/title/tt0286486/?ref_=chttvtp_i_96""",2002,2008
"""tous publics""","""États-Unis""",44,"""Anglais""",NULL,"""Quand de vieux ennemis appelés les Cylons refont surface et effacent les 12 colonies, l'équipage du vieux Galactica protège la dernière petite flotte civile de l'humanité et se dirige vers la 13ème colonie légendaire: la Terre.""",8.7,"""Glen A. Larson|Ronald D. Moore""","""Action|Aventure|Drame""","""Edward James Olmos|Mary McDonnell|Jamie Bamber""","""Battlestar Galactica""",95,"""https://www.imdb.com/title/tt0407362/?ref_=chttvtp_i_95""",2004,2009
"""16""","""Japon""",24,"""Japonais""",NULL,"""La paix est soudainement rompue lorsque des sirènes d'alerte retentissent dans la Soul Society. Des habitants disparaissent sans laisser de trace et personne ne sait qui est derrière tout cela.""",9.0,"""Tite Kubo""","""Animation|Action|Aventure""","""Masakazu Morita|Johnny Yong Bosch|Takayuki Sugô""","""Bleach: Thousand-Year Blood War""",92,"""https://www.imdb.com/title/tt14986406/?ref_=chttvtp_i_92""",2022,NULL
"""18""","""Royaume-Uni""",0,"""Anglais""",NULL,"""Une série comique en six parties adaptée d'une pièce primée qui raconte l'histoire d'une jeune femme essayant de faire face à la vie à Londres tout en faisant face à une tragédie récente.""",8.7,"""Phoebe Waller-Bridge""","""Comédie|Drame""","""Phoebe Waller-Bridge|Sian Clifford|Olivia Colman""","""Fleabag""",94,"""https://www.imdb.com/title/tt5687612/?ref_=chttvtp_i_94""",2016,2019
"""16""","""États-Unis""",0,"""Anglais""",NULL,"""Une histoire d'action centrée sur une équipe de la CIA chargée de maintenir les super-héros en ligne, par tous les moyens nécessaires.""",8.7,"""Eric Kripke""","""Action|Comédie|Policier""","""Karl Urban|Jack Quaid|Antony Starr""","""The Boys""",93,"""https://www.imdb.com/title/tt1190634/?ref_=chttvtp_i_93""",2019,NULL
"""10""","""États-Unis""",55,"""Anglais""",NULL,"""Une série relatant les activités quotidiennes d'un établissement pénitentiaire inhabituel et de ses habitants criminels.""",8.7,"""Tom Fontana""","""Policier|Drame|Thriller""","""Ernie Hudson|J.K. Simmons|Lee Tergesen""","""Oz""",88,"""https://www.imdb.com/title/tt0118421/?ref_=chttvtp_i_88""",1997,2003
"""16""","""Allemagne""",0,"""Allemand""",NULL,"""Une saga familiale avec une touche de surnaturel se déroulant dans une petite ville allemande où la disparition de deux jeunes enfants expose les relations de quatre familles.""",8.7,"""Baran bo Odar|Jantje Friese""","""Policier|Drame|Mystère""","""Louis Hofmann|Karoline Eichhorn|Lisa Vicari""","""Dark""",90,"""https://www.imdb.com/title/tt5753856/?ref_=chttvtp_i_90""",2017,2020
"""16""","""Inde""",0,"""Hindi""",NULL,"""Panchayat illustre le parcours d'Abhishek, un diplômé en génie civil, qui, faute de mieux, rejoint en tant que secrétaire d'un bureau de Panchayat dans un village isolé de l'Uttar Pradesh.""",8.9,NULL,"""Comédie|Drame""","""Jitendra Kumar|Raghubir Yadav|Neena Gupta""","""Panchayat""",87,"""https://www.imdb.com/title/tt12004706/?ref_=chttvtp_i_87""",2020,NULL
"""10""","""Royaume-Uni""",0,"""Anglais""",NULL,"""L'épopée d'une famille de gangsters se déroulant en 1919 à Birmingham en Angleterre, d'un gang cousant des lames de rasoir sur les visières de leurs casquettes, et de leur féroce patron Tommy Shelby.""",8.8,"""Steven Knight""","""Policier|Drame""","""Cillian Murphy|Paul Anderson|Sophie Rundle""","""Peaky Blinders""",84,"""https://www.imdb.com/title/tt2442560/?ref_=chttvtp_i_84""",2013,2022
"""tous publics""","""États-Unis""",0,"""Anglais""","""Six Feet Under""","""Une série dramatique qui présente un regard sombre et comique sur les membres d'une famille dysfonctionnelle gérants de pompes funèbres en Californie""",8.7,"""Alan Ball""","""Comédie|Drame""","""Peter Krause|Michael C. Hall|Frances Conroy""","""Six pieds sous terre""",85,"""https://www.imdb.com/title/tt0248654/?ref_=chttvtp_i_85""",2001,2005
"""tous publics""","""Royaume-Uni""",0,"""Anglais""",NULL,"""Un récit réaliste des vies des Romains illustres et ordinaires durant les derniers jours de la République romaine.""",8.7,"""Bruno Heller|William J. MacDonald|John Milius""","""Action|Drame|Romantique""","""Kevin McKidd|Ray Stevenson|Polly Walker""","""Rome""",86,"""https://www.imdb.com/title/tt0384766/?ref_=chttvtp_i_86""",2005,2007
"""13""","""Japon""",24,"""Japonais""",NULL,"""Après avoir découvert le voyage dans le temps, un étudiant et ses collègues doivent se servir de leurs connaissances pour arrêter une organisation diabolique et leurs plans maléfiques.""",8.8,NULL,"""Animation|Comédie|Drame""","""Mamoru Miyano|Asami Imai|Kana Hanazawa""","""Steins;Gate""",89,"""https://www.imdb.com/title/tt1910272/?ref_=chttvtp_i_89""",2011,2015
"""16""","""Canada""",50,"""Anglais""",NULL,"""20 ans après une pandémie transformant les humains en zombies, un homme ayant perdu sa fille à l'aube de cette pandémie ainsi qu'une orpheline ayant croisé sa route vont se lancer dans un voyage afin de rejoindre d'autres survivants.""",8.7,"""Neil Druckmann|Craig Mazin""","""Action|Aventure|Drame""","""Pedro Pascal|Bella Ramsey|Anna Torv""","""The Last of Us""",83,"""https://www.imdb.com/title/tt3581920/?ref_=chttvtp_i_83""",2023,NULL
"""13""","""Inde""",0,"""Hindi""",NULL,"""Dédié à Shrimati SL Loney ji, Shri Irodov ji et Maanniya HC Verma ji, 'Kota Factory' est la dernière création originale de TVF. La première série indienne en noir et blanc illustre les problèmes quotidiens des futurs ingénieurs.""",9.0,"""Saurabh Khanna""","""Comédie|Drame""","""Mayur More|Jitendra Kumar|Ranjan Raj""","""Kota Factory""",81,"""https://www.imdb.com/title/tt9432978/?ref_=chttvtp_i_81""",2019,2021
"""13""","""Japon""",24,"""Japonais""",NULL,"""Thorfinn se lance dans un voyage avec son père meurtrier afin de se venger et de mettre fin à sa vie en un duel en tant que guerrier honorable et rendre hommage à son père.""",8.8,NULL,"""Animation|Action|Aventure""","""Yûto Uemura|Mike Haimoto|Shinya Takahashi""","""Vinland Saga""",80,"""https://www.imdb.com/title/tt10233448/?ref_=chttvtp_i_80""",2019,2023
"""NULL""","""Inde""",24,"""Hindi""",NULL,"""Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.""",9.1,"""Shreyansh Pandey""","""Comédie|Drame|Famille""","""Jameel Khan|Geetanjali Kulkarni|Vaibhav Raj Gupta""","""Gullak""",82,"""https://www.imdb.com/title/tt10530900/?ref_=chttvtp_i_82""",2019,NULL
"""tous publics""","""États-Unis""",0,"""Anglais""",NULL,"""L'histoire de l'entraîneur de football américain Ted Lasso, qui se rend au Royaume-Uni pour diriger une équipe de football londonienne dans l'élite du football anglais.""",8.8,"""Brendan Hunt|Joe Kelly|Bill Lawrence""","""Comédie|Drame|Sport""","""Jason Sudeikis|Hannah Waddingham|Jeremy Swift""","""Ted Lasso""",78,"""https://www.imdb.com/title/tt10986410/?ref_=chttvtp_i_78""",2020,2023
"""10""","""États-Unis""",11,"""Anglais""","""Over the Garden Wall""","""Deux frères se retrouvent perdus dans un pays mystérieux et tentent de retrouver le chemin du retour.""",8.8,"""Katie Krentz|Patrick McHale""","""Animation|Court-métrage|Aventure""","""Elijah Wood|Collin Dean|Melanie Lynskey""","""La Forêt de l'Étrange""",79,"""https://www.imdb.com/title/tt3718778/?ref_=chttvtp_i_79""",2014,NULL
"""tous publics""","""Japon""",24,"""Japonais""",NULL,"""Son Goku continue ses aventures avec une nouvelle famille et la révélation de son origine extraterrestre. Maintenant, Goku et ses alliés doivent défendre la planète contre une attaque de nouveaux ennemis extraterrestres.""",8.8,NULL,"""Animation|Action|Aventure""","""Jôji Yanami|Kyle Hebert|Masako Nozawa""","""Dragon Ball Z""",73,"""https://www.imdb.com/title/tt0121220/?ref_=chttvtp_i_73""",1989,1996
"""16""","""Royaume-Uni""",0,"""Anglais""",NULL,"""Une série d'anthologie explorant un monde tourné vers la haute technologie où se heurtent les plus grandes innovations et les instincts les plus sombres de l'humanité.""",8.7,"""Charlie Brooker""","""Drame|Mystère|Science-fiction""","""Wunmi Mosaku|Monica Dolan|Daniel Lapaine""","""Black Mirror""",76,"""https://www.imdb.com/title/tt2085059/?ref_=chttvtp_i_76""",2011,NULL
"""16""","""États-Unis""",22,"""Anglais""",NULL,"""Suit les mésaventures de quatre collégiens insolents dans la ville tranquille et dysfonctionnelle de South Park dans le Colorado.""",8.7,"""Trey Parker|Matt Stone|Brian Graden""","""Animation|Comédie""","""Trey Parker|Matt Stone|Isaac Hayes""","""South Park""",77,"""https://www.imdb.com/title/tt0121955/?ref_=chttvtp_i_77""",1997,NULL
