audience,country,duration,original_language,orignal_title,plot,score,scrapy_creators,scrapy_genres,scrapy_stars,title,tvshow_rank,url,year_start,year_stop
"""7""","""Royaume-Uni""",30,"""Anglais""",NULL,"""Les exploits personnels d'une jeune fille de seize ans, de sa famille et de ses amis pendant les troubles du début des années quatre-vingt-dix.""",8.5,"""Lisa McGee""","""Comédie""","""Saoirse-Monica Jackson|Louisa Harland|Tara Lynne O'Neill""","""Derry Girls""",232,"""https://www.imdb.com/title/tt7120662/?ref_=chttvtp_i_232""",2018,2022
"""13""","""Australie""",45,"""Anglais""",NULL,"""Bea Smith est emprisonnée dans l'attente d'un procès pour avoir tenté de tuer son mari et doit apprendre le fonctionnement de la vie en prison.""",8.6,"""Reg Watson|Lara Radulovich""","""Policier|Drame|Thriller""","""Kate Atkinson|Katrina Milosevic|Robbie Magasiva""","""Wentworth""",238,"""https://www.imdb.com/title/tt2433738/?ref_=chttvtp_i_238""",2013,2021
"""tv-14""","""États-Unis""",0,"""Anglais""","""From the Earth to the Moon""","""Représentation dramatisée du programme spatial habité Apollo.""",8.6,NULL,"""Action|Drame|Historique""","""Tom Hanks|Nick Searcy|Lane Smith""","""De la Terre à la Lune""",231,"""https://www.imdb.com/title/tt0120570/?ref_=chttvtp_i_231""",1998,NULL
"""18""","""États-Unis""",30,"""Anglais""",NULL,"""Nathan Fielder donne aux gens une chance de répéter pour leur propre vie dans un monde où rien ne se passe jamais comme prévu.""",8.5,"""Nathan Fielder""","""Documentaire|Comédie""","""Nathan Fielder|Journey Baker|Anna Lamadrid""","""The Rehearsal""",235,"""https://www.imdb.com/title/tt10802170/?ref_=chttvtp_i_235""",2022,NULL
"""16""","""Corée du Sud""",75,"""Coréen""","""Isanghan byeonhosa Woo Young-woo""","""En raison de son QI élevé de 164, de sa mémoire impressionnante et de son processus de pensée créatif, la brillante Woo Young Woo obtient son diplôme en tête de sa classe dans une prestigieuse faculté de droit.""",8.6,NULL,"""Drame""","""Park Eun-bin|Kang Tae-oh|Kang Ki-young""","""Extraordinary Attorney Woo""",230,"""https://www.imdb.com/title/tt20869502/?ref_=chttvtp_i_230""",2022,NULL
"""tous publics""","""Japon""",24,"""Japonais""","""Hagane no renkinjutsushi""","""Lorsqu'un rituel alchimique raté laisse les frères Edward et Alphonse Elric avec des corps gravement endommagés, ils commencent à chercher la seule chose qui puisse les sauver; la pierre philosophale légendaire.""",8.5,NULL,"""Animation|Action|Aventure""","""Vic Mignogna|Aaron Dismuke|Romi Park""","""Fullmetal Alchemist""",229,"""https://www.imdb.com/title/tt0421357/?ref_=chttvtp_i_229""",2003,2004
"""tous publics""","""États-Unis""",22,"""Anglais""",NULL,"""Fry, un livreur de pizza se retrouve accidentellement congelé en 1999 et décongelé pour le réveillon du Nouvel An 2999.""",8.5,"""David X. Cohen|Matt Groening""","""Animation|Aventure|Comédie""","""Billy West|John DiMaggio|Katey Sagal""","""Futurama""",228,"""https://www.imdb.com/title/tt0149460/?ref_=chttvtp_i_228""",1999,NULL
"""tous publics""","""Canada""",22,"""Anglais""","""Schitt$ Creek""","""Lorsque le riche magnat de la vidéothèque Johnny Rose et sa famille se retrouvent soudainement en faillite, ils sont obligés de quitter leur vie choyée pour se regrouper à Schitt's Creek.""",8.5,"""Dan Levy|Eugene Levy""","""Comédie""","""Eugene Levy|Catherine O'Hara|Dan Levy""","""Schitt's Creek""",227,"""https://www.imdb.com/title/tt3526078/?ref_=chttvtp_i_227""",2015,2020
"""tous publics""","""États-Unis""",28,"""Anglais""",NULL,"""Suit la lutte de Richard Hendricks, un ingénieur de la Silicon Valley qui tente de créer sa propre société appelée Pied Piper.""",8.5,"""John Altschuler|Mike Judge|Dave Krinsky""","""Comédie""","""Thomas Middleditch|T.J. Miller|Josh Brener""","""Silicon Valley""",225,"""https://www.imdb.com/title/tt2575988/?ref_=chttvtp_i_225""",2014,2019
"""tous publics""","""États-Unis""",23,"""Anglais""",NULL,"""Les aventures quotidiennes surréalistes d'un oiseau et d'un raton laveur qui tentent de faire face à leurs emplois en tant que gardiens de parc.""",8.5,"""J.G. Quintel""","""Animation|Action|Aventure""","""J.G. Quintel|William Salyers|Sam Marin""","""Regular Show""",223,"""https://www.imdb.com/title/tt1710308/?ref_=chttvtp_i_223""",2010,2017
"""16""","""États-Unis""",331,"""Anglais""",NULL,"""Bien avant l'arrivée de Spartacus, la Maison de Batiatus affronte de nombreux défis face à ses concurrents, et au sein de sa propre maison.""",8.5,"""Steven S. DeKnight""","""Action|Aventure|Biographique""","""John Hannah|Manu Bennett|Peter Mensah""","""Spartacus: les dieux de l'arène""",221,"""https://www.imdb.com/title/tt1758429/?ref_=chttvtp_i_221""",2011,NULL
"""tous publics""","""Royaume-Uni""",45,"""Anglais""",NULL,"""Les nouvelles aventures dans le temps et l'espace de l'aventurier extraterrestre connu sous le nom de Docteur, un Seigneur ou une Dame du Temps capable de changer d'apparence et de sexe en se régénérant à l'approche de la mort, et de ses compagnons humains.""",8.6,"""Sydney Newman""","""Aventure|Drame|Science-fiction""","""Jodie Whittaker|Peter Capaldi|Pearl Mackie""","""Doctor Who""",226,"""https://www.imdb.com/title/tt0436992/?ref_=chttvtp_i_226""",2005,2022
"""18""","""Norvège""",30,"""Norvégien""",NULL,"""L'histoire d'adolescents et élèves du Lycée Hartvig Nissens à Oslo, qui parle de leurs ennuis, leurs conflits et leur vie de tous les jours. Chaque saison est racontée d'un point de vue différent.""",8.6,"""Julie Andem""","""Drame|Romantique""","""Josefine Frida Pettersen|Iman Meskini|Ulrikke Falch""","""Skam""",220,"""https://www.imdb.com/title/tt5288312/?ref_=chttvtp_i_220""",2015,2017
"""tv-ma""","""Royaume-Uni""",25,"""Anglais""",NULL,"""Controversial spoof of current affairs television, and the role of celebrity in the UK.""",8.6,NULL,"""Comédie""","""Christopher Morris|Mark Heap|Kevin Eldon""","""Brass Eye""",219,"""https://www.imdb.com/title/tt0118273/?ref_=chttvtp_i_219""",1997,2001
"""tv-ma""","""Canada""",30,"""Anglais""",NULL,"""Comédie vive et entraînante sur la vie quotidienne des ploucs d'une petite ville.""",8.6,"""Jared Keeso|Jacob Tierney""","""Comédie""","""Jared Keeso|Nathan Dales|Michelle Mylett""","""Letterkenny""",224,"""https://www.imdb.com/title/tt4647692/?ref_=chttvtp_i_224""",2016,2023
"""12""","""Japon""",24,"""Anglais""","""Shinseiki Evangelion""","""Un adolescent se retrouve recruté par son père comme membre d'une équipe de pilotes d'élite.""",8.5,"""Hideaki Anno""","""Animation|Action|Drame""","""Megumi Ogata|Megumi Hayashibara|Kotono Mitsuishi""","""Neon Genesis Evangelion""",215,"""https://www.imdb.com/title/tt0112159/?ref_=chttvtp_i_215""",1995,1996
"""tous publics""","""États-Unis""",46,"""Anglais""",NULL,"""Un homme alcoolique vit dans un état de stupeur permanent alors que ses six enfants font de leur mieux pour gérer les choses.""",8.5,"""Paul Abbott|John Wells""","""Comédie|Drame""","""Emmy Rossum|William H. Macy|Ethan Cutkosky""","""Shameless""",217,"""https://www.imdb.com/title/tt1586680/?ref_=chttvtp_i_217""",2011,2021
"""16""","""Canada""",30,"""Anglais""",NULL,"""Trois criminels réalisent un documentaire sur leur vie dans un parc à caravanes.""",8.5,"""Mike Clattenburg""","""Comédie|Policier""","""John Paul Tremblay|Robb Wells|Mike Smith""","""Trailer Park Boys""",218,"""https://www.imdb.com/title/tt0290988/?ref_=chttvtp_i_218""",2001,2018
"""12""","""États-Unis""",0,"""Anglais""",NULL,"""25 ans après que les habitants d'une pittoresque ville du nord-ouest américain aient été stupéfaits par l'assassinat de leur reine de bal.""",8.5,"""Mark Frost|David Lynch""","""Policier|Drame|Horreur""","""Kyle MacLachlan|Sheryl Lee|Michael Horse""","""Twin Peaks: The Return""",216,"""https://www.imdb.com/title/tt4093826/?ref_=chttvtp_i_216""",2017,NULL
"""7""","""Royaume-Uni""",40,"""Anglais""",NULL,"""Docuseries sur le Championnat du Monde de Formule 1 de la FIA 2018.""",8.5,NULL,"""Documentaire|Sport""","""Will Buxton|Jack Nicholls|Daniel Ricciardo""","""Formule 1: Pilotes de leur destin""",211,"""https://www.imdb.com/title/tt8289930/?ref_=chttvtp_i_211""",2019,NULL
"""16""","""États-Unis""",45,"""Anglais""",NULL,"""Un homme d'une trentaine d'années peine à trouver l'équilibre entre sa vie de jeune père et son implication dans un club de motards.""",8.6,"""Kurt Sutter""","""Policier|Drame|Thriller""","""Charlie Hunnam|Katey Sagal|Mark Boone Junior""","""Sons of Anarchy""",214,"""https://www.imdb.com/title/tt1124373/?ref_=chttvtp_i_214""",2008,2014
"""tv-pg""","""États-Unis""",0,"""Anglais""","""Through the Wormhole""","""Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ...""",8.6,NULL,"""Documentaire""","""Morgan Freeman|Sean Carroll|Michio Kaku""","""Voyage dans l'espace-temps""",213,"""https://www.imdb.com/title/tt1513168/?ref_=chttvtp_i_213""",2010,2017
"""16""","""États-Unis""",55,"""Anglais""",NULL,"""L'histoire des plus grands gladiateurs de l'histoire se déroule sous le signe de la violence et des passions des femmes qui les aiment.""",8.5,"""Steven S. DeKnight""","""Action|Aventure|Biographique""","""Andy Whitfield|Lucy Lawless|Manu Bennett""","""Spartacus: le sang des gladiateurs""",209,"""https://www.imdb.com/title/tt1442449/?ref_=chttvtp_i_209""",2010,2013
"""16""","""Royaume-Uni""",0,"""Anglais""",NULL,"""L'histoire d'un bureau qui va se fermer ses portes, on décide de donner plus de pouvoir à ses succursales. Un équipage de film suit le personnel et le directeur David Brent alors qu'ils continuent leurs vie au quotidien.""",8.5,"""Ricky Gervais|Stephen Merchant""","""Comédie|Drame""","""Ricky Gervais|Martin Freeman|Mackenzie Crook""","""The Office""",212,"""https://www.imdb.com/title/tt0290978/?ref_=chttvtp_i_212""",2001,2003
"""16""","""Royaume-Uni""",0,"""Anglais""",NULL,"""Catherine Cawood est la sergente de garde lorsque Kevin Weatherill, comptable agité et nerveux, se rend à son bureau de l'ouest du Yorkshire pour signaler un crime.""",8.5,"""Sally Wainwright""","""Policier|Drame|Thriller""","""Sarah Lancashire|Siobhan Finneran|James Norton""","""Happy Valley""",210,"""https://www.imdb.com/title/tt3428912/?ref_=chttvtp_i_210""",2014,2023
"""7""","""Royaume-Uni""",30,"""Anglais""",NULL,"""Deux adolescents, Charlie et Nick, découvrent que leur amitié improbable pourrait être quelque chose de plus alors qu'ils naviguent entre l'école et le jeune amour dans cette série sur le passage à l'âge adulte.""",8.6,"""Alice Oseman""","""Drame|Romantique""","""Joe Locke|Kit Connor|William Gao""","""Heartstopper""",208,"""https://www.imdb.com/title/tt10638036/?ref_=chttvtp_i_208""",2022,NULL
"""tv-ma""","""États-Unis""",22,"""Anglais""",NULL,"""La vie de Louie C.K., un comédien divorcé vivant à New York avec deux enfants.""",8.5,"""Louis C.K.""","""Comédie|Drame""","""Louis C.K.|Hadley Delany|Ursula Parker""","""Louie""",206,"""https://www.imdb.com/title/tt1492966/?ref_=chttvtp_i_206""",2010,2015
"""tous publics""","""Royaume-Uni""",30,"""Anglais""",NULL,"""La vie de deux détecteurs de métaux excentriques, qui passent leurs journées à arpenter les pistes labourées et les champs ouverts, dans l'espoir de tromper l'ennui en déterrant la fortune d'une vie.""",8.6,"""Mackenzie Crook""","""Comédie""","""Mackenzie Crook|Toby Jones|Rachael Stirling""","""Detectorists""",205,"""https://www.imdb.com/title/tt4082744/?ref_=chttvtp_i_205""",2014,2022
"""tv-pg""","""États-Unis""",30,"""Anglais""",NULL,"""Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.""",8.5,"""Mark Leveson|Dan Patterson""","""Comédie|Jeu télévisé""","""Drew Carey|Colin Mochrie|Ryan Stiles""","""Whose Line Is It Anyway?""",207,"""https://www.imdb.com/title/tt0163507/?ref_=chttvtp_i_207""",1998,2007
